judul,tanggal,isi,kategori,cleansing,case_folding,tokenize,stopword_removal
"Nunggak 8 Bulan, Segini Pajak Ford Mustang Milik Bos Narkoba HS","Kamis, 19 Sep 2024 13:05 WIB","Jakarta - Bareskrim Polri menyita aset senilai Rp 221 miliar dari tersangka pencucian uang kasus narkoba jaringan HS alias H32. Salah satu aset tersebut adalah mobil muscle car Ford Mustang. Aset-aset yang disita sebagai barang bukti tersebut dihadirkan dalam konferensi pers di Lapangan Bhayangkara, Jakarta Selatan, Kamis (18/9/2024). Ada 21 mobil yang dihadirkan dalam jumpa pers, di antaranya Ford Mustang, Jeep Rubicon, dan Land Rover. Ada juga puluhan motor trail, all-terrain vehicle (ATV), dan jet ski. Selain itu, Bareskrim Polri menyita uang tunai senilai Rp 1,2 miliar, speed boat, hingga jam tangan mewah. ""Nilai total aset sebesar Rp 221 miliar. Ini ada barang bukti yang terpampang pembelian dari hasil peredaran gelap narkoba,"" kata Kabareskrim Polri Komjen Wahyu Widada. Salah satu mobil yang disita adalah Ford Mustang berpelat nomor B 1859 WRC. Dikutip dari Informasi Pajak Kendaraan Bermotor Provinsi Banten, mobil Ford Mustang itu telah menunggak pajak. Pelat nomor B 1859 WRC terdaftar untuk mobil Ford Mustang 5.0 V8 GT Fastback tahun 2016. Mobil tersebut belum dibayarkan pajaknya. Pajaknya mati sejak 18 Januari 2024. Pada Informasi Pajak Kendaraan Bermotor Provinsi Banten tertulis pajak mobil tersebut terlambat 8 bulan 1 hari. Adapun besaran Pajak Kendaraan Bermotor (PKB) pokoknya adalah Rp 26.547.500. Ditambah denda sebesar Rp 4.778.600, SWDKLLJ Rp 143.000 dan denda SWDKLLJ Rp 100.000, maka total pajak yang ditunggak pemilik mobil ini mencapai Rp 31.569.100. Menurut Wahyu, berdasarkan penyidikan gabungan dengan PPATK, diketahui perputaran uang yang dihasilkan HS dari bisnis haramnya mencapai Rp 2,1 triliun. Uang triliunan rupiah itu merupakan akumulasi dari bisnis narkoba yang dijalankannya selama 2017-2024. ""Uang dari hasil kejahatan tersebut sebagian disamarkan dengan membeli aset-aset yang telah disita menjadi barang bukti,"" ujar Wahyu. (rgr/dry)",Otomotif,Jakarta  Bareskrim Polri menyita aset senilai Rp  miliar dari tersangka pencucian uang kasus narkoba jaringan HS alias H Salah satu aset tersebut adalah mobil muscle car Ford Mustang Asetaset yang disita sebagai barang bukti tersebut dihadirkan dalam konferensi pers di Lapangan Bhayangkara Jakarta Selatan Kamis  Ada  mobil yang dihadirkan dalam jumpa pers di antaranya Ford Mustang Jeep Rubicon dan Land Rover Ada juga puluhan motor trail allterrain vehicle ATV dan jet ski Selain itu Bareskrim Polri menyita uang tunai senilai Rp  miliar speed boat hingga jam tangan mewah Nilai total aset sebesar Rp  miliar Ini ada barang bukti yang terpampang pembelian dari hasil peredaran gelap narkoba kata Kabareskrim Polri Komjen Wahyu Widada Salah satu mobil yang disita adalah Ford Mustang berpelat nomor B  WRC Dikutip dari Informasi Pajak Kendaraan Bermotor Provinsi Banten mobil Ford Mustang itu telah menunggak pajak Pelat nomor B  WRC terdaftar untuk mobil Ford Mustang  V GT Fastback tahun  Mobil tersebut belum dibayarkan pajaknya Pajaknya mati sejak  Januari  Pada Informasi Pajak Kendaraan Bermotor Provinsi Banten tertulis pajak mobil tersebut terlambat  bulan  hari Adapun besaran Pajak Kendaraan Bermotor PKB pokoknya adalah Rp  Ditambah denda sebesar Rp  SWDKLLJ Rp  dan denda SWDKLLJ Rp  maka total pajak yang ditunggak pemilik mobil ini mencapai Rp  Menurut Wahyu berdasarkan penyidikan gabungan dengan PPATK diketahui perputaran uang yang dihasilkan HS dari bisnis haramnya mencapai Rp  triliun Uang triliunan rupiah itu merupakan akumulasi dari bisnis narkoba yang dijalankannya selama  Uang dari hasil kejahatan tersebut sebagian disamarkan dengan membeli asetaset yang telah disita menjadi barang bukti ujar Wahyu rgrdry,jakarta  bareskrim polri menyita aset senilai rp  miliar dari tersangka pencucian uang kasus narkoba jaringan hs alias h salah satu aset tersebut adalah mobil muscle car ford mustang asetaset yang disita sebagai barang bukti tersebut dihadirkan dalam konferensi pers di lapangan bhayangkara jakarta selatan kamis  ada  mobil yang dihadirkan dalam jumpa pers di antaranya ford mustang jeep rubicon dan land rover ada juga puluhan motor trail allterrain vehicle atv dan jet ski selain itu bareskrim polri menyita uang tunai senilai rp  miliar speed boat hingga jam tangan mewah nilai total aset sebesar rp  miliar ini ada barang bukti yang terpampang pembelian dari hasil peredaran gelap narkoba kata kabareskrim polri komjen wahyu widada salah satu mobil yang disita adalah ford mustang berpelat nomor b  wrc dikutip dari informasi pajak kendaraan bermotor provinsi banten mobil ford mustang itu telah menunggak pajak pelat nomor b  wrc terdaftar untuk mobil ford mustang  v gt fastback tahun  mobil tersebut belum dibayarkan pajaknya pajaknya mati sejak  januari  pada informasi pajak kendaraan bermotor provinsi banten tertulis pajak mobil tersebut terlambat  bulan  hari adapun besaran pajak kendaraan bermotor pkb pokoknya adalah rp  ditambah denda sebesar rp  swdkllj rp  dan denda swdkllj rp  maka total pajak yang ditunggak pemilik mobil ini mencapai rp  menurut wahyu berdasarkan penyidikan gabungan dengan ppatk diketahui perputaran uang yang dihasilkan hs dari bisnis haramnya mencapai rp  triliun uang triliunan rupiah itu merupakan akumulasi dari bisnis narkoba yang dijalankannya selama  uang dari hasil kejahatan tersebut sebagian disamarkan dengan membeli asetaset yang telah disita menjadi barang bukti ujar wahyu rgrdry,"['jakarta', 'bareskrim', 'polri', 'menyita', 'aset', 'senilai', 'rp', 'miliar', 'dari', 'tersangka', 'pencucian', 'uang', 'kasus', 'narkoba', 'jaringan', 'hs', 'alias', 'h', 'salah', 'satu', 'aset', 'tersebut', 'adalah', 'mobil', 'muscle', 'car', 'ford', 'mustang', 'asetaset', 'yang', 'disita', 'sebagai', 'barang', 'bukti', 'tersebut', 'dihadirkan', 'dalam', 'konferensi', 'pers', 'di', 'lapangan', 'bhayangkara', 'jakarta', 'selatan', 'kamis', 'ada', 'mobil', 'yang', 'dihadirkan', 'dalam', 'jumpa', 'pers', 'di', 'antaranya', 'ford', 'mustang', 'jeep', 'rubicon', 'dan', 'land', 'rover', 'ada', 'juga', 'puluhan', 'motor', 'trail', 'allterrain', 'vehicle', 'atv', 'dan', 'jet', 'ski', 'selain', 'itu', 'bareskrim', 'polri', 'menyita', 'uang', 'tunai', 'senilai', 'rp', 'miliar', 'speed', 'boat', 'hingga', 'jam', 'tangan', 'mewah', 'nilai', 'total', 'aset', 'sebesar', 'rp', 'miliar', 'ini', 'ada', 'barang', 'bukti', 'yang', 'terpampang', 'pembelian', 'dari', 'hasil', 'peredaran', 'gelap', 'narkoba', 'kata', 'kabareskrim', 'polri', 'komjen', 'wahyu', 'widada', 'salah', 'satu', 'mobil', 'yang', 'disita', 'adalah', 'ford', 'mustang', 'berpelat', 'nomor', 'b', 'wrc', 'dikutip', 'dari', 'informasi', 'pajak', 'kendaraan', 'bermotor', 'provinsi', 'banten', 'mobil', 'ford', 'mustang', 'itu', 'telah', 'menunggak', 'pajak', 'pelat', 'nomor', 'b', 'wrc', 'terdaftar', 'untuk', 'mobil', 'ford', 'mustang', 'v', 'gt', 'fastback', 'tahun', 'mobil', 'tersebut', 'belum', 'dibayarkan', 'pajaknya', 'pajaknya', 'mati', 'sejak', 'januari', 'pada', 'informasi', 'pajak', 'kendaraan', 'bermotor', 'provinsi', 'banten', 'tertulis', 'pajak', 'mobil', 'tersebut', 'terlambat', 'bulan', 'hari', 'adapun', 'besaran', 'pajak', 'kendaraan', 'bermotor', 'pkb', 'pokoknya', 'adalah', 'rp', 'ditambah', 'denda', 'sebesar', 'rp', 'swdkllj', 'rp', 'dan', 'denda', 'swdkllj', 'rp', 'maka', 'total', 'pajak', 'yang', 'ditunggak', 'pemilik', 'mobil', 'ini', 'mencapai', 'rp', 'menurut', 'wahyu', 'berdasarkan', 'penyidikan', 'gabungan', 'dengan', 'ppatk', 'diketahui', 'perputaran', 'uang', 'yang', 'dihasilkan', 'hs', 'dari', 'bisnis', 'haramnya', 'mencapai', 'rp', 'triliun', 'uang', 'triliunan', 'rupiah', 'itu', 'merupakan', 'akumulasi', 'dari', 'bisnis', 'narkoba', 'yang', 'dijalankannya', 'selama', 'uang', 'dari', 'hasil', 'kejahatan', 'tersebut', 'sebagian', 'disamarkan', 'dengan', 'membeli', 'asetaset', 'yang', 'telah', 'disita', 'menjadi', 'barang', 'bukti', 'ujar', 'wahyu', 'rgrdry']",jakarta bareskrim polri menyita aset senilai rp miliar tersangka pencucian uang narkoba jaringan hs alias h salah aset mobil muscle car ford mustang asetaset disita barang bukti dihadirkan konferensi pers lapangan bhayangkara jakarta selatan kamis mobil dihadirkan jumpa pers ford mustang jeep rubicon land rover puluhan motor trail allterrain vehicle atv jet ski bareskrim polri menyita uang tunai senilai rp miliar speed boat jam tangan mewah nilai total aset rp miliar barang bukti terpampang pembelian hasil peredaran gelap narkoba kabareskrim polri komjen wahyu widada salah mobil disita ford mustang berpelat nomor b wrc dikutip informasi pajak kendaraan bermotor provinsi banten mobil ford mustang menunggak pajak pelat nomor b wrc terdaftar mobil ford mustang v gt fastback mobil dibayarkan pajaknya pajaknya mati januari informasi pajak kendaraan bermotor provinsi banten tertulis pajak mobil terlambat besaran pajak kendaraan bermotor pkb pokoknya rp ditambah denda rp swdkllj rp denda swdkllj rp total pajak ditunggak pemilik mobil mencapai rp wahyu berdasarkan penyidikan gabungan ppatk perputaran uang dihasilkan hs bisnis haramnya mencapai rp triliun uang triliunan rupiah akumulasi bisnis narkoba dijalankannya uang hasil kejahatan disamarkan membeli asetaset disita barang bukti wahyu rgrdry
Bos Ford Kaget usai Jajal Mobil China: Mereka Lebih Maju!,"Kamis, 19 Sep 2024 12:33 WIB","Jakarta - Chief Executive Officer (CEO) Ford, Jim Farley dan Chief Financial Officer (CEO) Ford, John Lawler belum lama ini mengunjungi China untuk melihat-lihat pabrik Changan Automobile. Bahkan, keduanya sempat menjajal mobil listrik buatan merek lokal tersebut. Disitat dari Carscoops , Kamis (19/9), tak dijelaskan secara detail mobil listrik Changan tipe apa yang dicoba bos Ford di China. Namun, kendaraan tersebut berjenis sport utility vehicle alias SUV. Ketika itu, Lawler duduk di kursi kemudi, sementara Farley di kursi penumpang. Lawler benar-benar terkejut setelah mengemudikan mobil listrik besutan Changan. Dia memberi tahu Farley betapa canggihnya kendaraan tersebut! ""Jim, (mobil) ini tidak seperti sebelumnya,"" kata Lawler kepada Farley. ""Mereka (produsen China) lebih maju dari kita!"" Mobil listrik China buatan Changan. Foto: Doc. Carscoops. Farley setuju dengan Lawler soal betapa canggihnya mobil buatan China. Bahkan, kabarnya, dia sampai memberi tahu anggota dewan Ford dan mantan eksekutif Goldman Sachs John Thornton mengenai fakta tersebut. ""Ini merupakan ancaman eksistensial!"" demikian yang disampaikan Farley menurut laporan Wall Street Journal (WSJ). Sebagai catatan, Ford selama bertahun-tahun menjadi salah satu brand paling digemari di China. Penjualan mereka mengalami kenaikan setelah menjalin kemitraan (joint venture) dengan Changan dan Jiangling. Pada Juli lalu, Farlet mengumumkan akan menjual mobil listrik murah di bawah Rp 500 jutaan di China. Kendaraan entry-level tersebut kabarnya meluncur 2,5 tahun lagi dan akan menantang mobil listrik mungil buatan merek lokal. Logo Ford Foto: Francois Lenoir/Reuters Ford merupakan satu dari sedikit merek yang menolak gagasan mobil harus full listrik pada 2030. Mereka menegaskan tetap akan menjual mobil bensin dan hybrid hingga tahun tersebut. Ford sebenarnya sempat dikabarkan akan meluncurkan SUV dan truk listrik pada tahun depan. Namun, rencana tersebut kemudian dibatalkan dan diundur ke tahun 2027. (sfn/dry)",Otomotif,Jakarta  Chief Executive Officer CEO Ford Jim Farley dan Chief Financial Officer CEO Ford John Lawler belum lama ini mengunjungi China untuk melihatlihat pabrik Changan Automobile Bahkan keduanya sempat menjajal mobil listrik buatan merek lokal tersebut Disitat dari Carscoops  Kamis  tak dijelaskan secara detail mobil listrik Changan tipe apa yang dicoba bos Ford di China Namun kendaraan tersebut berjenis sport utility vehicle alias SUV Ketika itu Lawler duduk di kursi kemudi sementara Farley di kursi penumpang Lawler benarbenar terkejut setelah mengemudikan mobil listrik besutan Changan Dia memberi tahu Farley betapa canggihnya kendaraan tersebut Jim mobil ini tidak seperti sebelumnya kata Lawler kepada Farley Mereka produsen China lebih maju dari kita Mobil listrik China buatan Changan Foto Doc Carscoops Farley setuju dengan Lawler soal betapa canggihnya mobil buatan China Bahkan kabarnya dia sampai memberi tahu anggota dewan Ford dan mantan eksekutif Goldman Sachs John Thornton mengenai fakta tersebut Ini merupakan ancaman eksistensial demikian yang disampaikan Farley menurut laporan Wall Street Journal WSJ Sebagai catatan Ford selama bertahuntahun menjadi salah satu brand paling digemari di China Penjualan mereka mengalami kenaikan setelah menjalin kemitraan joint venture dengan Changan dan Jiangling Pada Juli lalu Farlet mengumumkan akan menjual mobil listrik murah di bawah Rp  jutaan di China Kendaraan entrylevel tersebut kabarnya meluncur  tahun lagi dan akan menantang mobil listrik mungil buatan merek lokal Logo Ford Foto Francois LenoirReuters Ford merupakan satu dari sedikit merek yang menolak gagasan mobil harus full listrik pada  Mereka menegaskan tetap akan menjual mobil bensin dan hybrid hingga tahun tersebut Ford sebenarnya sempat dikabarkan akan meluncurkan SUV dan truk listrik pada tahun depan Namun rencana tersebut kemudian dibatalkan dan diundur ke tahun  sfndry,jakarta  chief executive officer ceo ford jim farley dan chief financial officer ceo ford john lawler belum lama ini mengunjungi china untuk melihatlihat pabrik changan automobile bahkan keduanya sempat menjajal mobil listrik buatan merek lokal tersebut disitat dari carscoops  kamis  tak dijelaskan secara detail mobil listrik changan tipe apa yang dicoba bos ford di china namun kendaraan tersebut berjenis sport utility vehicle alias suv ketika itu lawler duduk di kursi kemudi sementara farley di kursi penumpang lawler benarbenar terkejut setelah mengemudikan mobil listrik besutan changan dia memberi tahu farley betapa canggihnya kendaraan tersebut jim mobil ini tidak seperti sebelumnya kata lawler kepada farley mereka produsen china lebih maju dari kita mobil listrik china buatan changan foto doc carscoops farley setuju dengan lawler soal betapa canggihnya mobil buatan china bahkan kabarnya dia sampai memberi tahu anggota dewan ford dan mantan eksekutif goldman sachs john thornton mengenai fakta tersebut ini merupakan ancaman eksistensial demikian yang disampaikan farley menurut laporan wall street journal wsj sebagai catatan ford selama bertahuntahun menjadi salah satu brand paling digemari di china penjualan mereka mengalami kenaikan setelah menjalin kemitraan joint venture dengan changan dan jiangling pada juli lalu farlet mengumumkan akan menjual mobil listrik murah di bawah rp  jutaan di china kendaraan entrylevel tersebut kabarnya meluncur  tahun lagi dan akan menantang mobil listrik mungil buatan merek lokal logo ford foto francois lenoirreuters ford merupakan satu dari sedikit merek yang menolak gagasan mobil harus full listrik pada  mereka menegaskan tetap akan menjual mobil bensin dan hybrid hingga tahun tersebut ford sebenarnya sempat dikabarkan akan meluncurkan suv dan truk listrik pada tahun depan namun rencana tersebut kemudian dibatalkan dan diundur ke tahun  sfndry,"['jakarta', 'chief', 'executive', 'officer', 'ceo', 'ford', 'jim', 'farley', 'dan', 'chief', 'financial', 'officer', 'ceo', 'ford', 'john', 'lawler', 'belum', 'lama', 'ini', 'mengunjungi', 'china', 'untuk', 'melihatlihat', 'pabrik', 'changan', 'automobile', 'bahkan', 'keduanya', 'sempat', 'menjajal', 'mobil', 'listrik', 'buatan', 'merek', 'lokal', 'tersebut', 'disitat', 'dari', 'carscoops', 'kamis', 'tak', 'dijelaskan', 'secara', 'detail', 'mobil', 'listrik', 'changan', 'tipe', 'apa', 'yang', 'dicoba', 'bos', 'ford', 'di', 'china', 'namun', 'kendaraan', 'tersebut', 'berjenis', 'sport', 'utility', 'vehicle', 'alias', 'suv', 'ketika', 'itu', 'lawler', 'duduk', 'di', 'kursi', 'kemudi', 'sementara', 'farley', 'di', 'kursi', 'penumpang', 'lawler', 'benarbenar', 'terkejut', 'setelah', 'mengemudikan', 'mobil', 'listrik', 'besutan', 'changan', 'dia', 'memberi', 'tahu', 'farley', 'betapa', 'canggihnya', 'kendaraan', 'tersebut', 'jim', 'mobil', 'ini', 'tidak', 'seperti', 'sebelumnya', 'kata', 'lawler', 'kepada', 'farley', 'mereka', 'produsen', 'china', 'lebih', 'maju', 'dari', 'kita', 'mobil', 'listrik', 'china', 'buatan', 'changan', 'foto', 'doc', 'carscoops', 'farley', 'setuju', 'dengan', 'lawler', 'soal', 'betapa', 'canggihnya', 'mobil', 'buatan', 'china', 'bahkan', 'kabarnya', 'dia', 'sampai', 'memberi', 'tahu', 'anggota', 'dewan', 'ford', 'dan', 'mantan', 'eksekutif', 'goldman', 'sachs', 'john', 'thornton', 'mengenai', 'fakta', 'tersebut', 'ini', 'merupakan', 'ancaman', 'eksistensial', 'demikian', 'yang', 'disampaikan', 'farley', 'menurut', 'laporan', 'wall', 'street', 'journal', 'wsj', 'sebagai', 'catatan', 'ford', 'selama', 'bertahuntahun', 'menjadi', 'salah', 'satu', 'brand', 'paling', 'digemari', 'di', 'china', 'penjualan', 'mereka', 'mengalami', 'kenaikan', 'setelah', 'menjalin', 'kemitraan', 'joint', 'venture', 'dengan', 'changan', 'dan', 'jiangling', 'pada', 'juli', 'lalu', 'farlet', 'mengumumkan', 'akan', 'menjual', 'mobil', 'listrik', 'murah', 'di', 'bawah', 'rp', 'jutaan', 'di', 'china', 'kendaraan', 'entrylevel', 'tersebut', 'kabarnya', 'meluncur', 'tahun', 'lagi', 'dan', 'akan', 'menantang', 'mobil', 'listrik', 'mungil', 'buatan', 'merek', 'lokal', 'logo', 'ford', 'foto', 'francois', 'lenoirreuters', 'ford', 'merupakan', 'satu', 'dari', 'sedikit', 'merek', 'yang', 'menolak', 'gagasan', 'mobil', 'harus', 'full', 'listrik', 'pada', 'mereka', 'menegaskan', 'tetap', 'akan', 'menjual', 'mobil', 'bensin', 'dan', 'hybrid', 'hingga', 'tahun', 'tersebut', 'ford', 'sebenarnya', 'sempat', 'dikabarkan', 'akan', 'meluncurkan', 'suv', 'dan', 'truk', 'listrik', 'pada', 'tahun', 'depan', 'namun', 'rencana', 'tersebut', 'kemudian', 'dibatalkan', 'dan', 'diundur', 'ke', 'tahun', 'sfndry']",jakarta chief executive officer ceo ford jim farley chief financial officer ceo ford john lawler mengunjungi china melihatlihat pabrik changan automobile menjajal mobil listrik buatan merek lokal disitat carscoops kamis detail mobil listrik changan tipe dicoba bos ford china kendaraan berjenis sport utility vehicle alias suv lawler duduk kursi kemudi farley kursi penumpang lawler benarbenar terkejut mengemudikan mobil listrik besutan changan farley betapa canggihnya kendaraan jim mobil lawler farley produsen china maju mobil listrik china buatan changan foto doc carscoops farley setuju lawler betapa canggihnya mobil buatan china kabarnya anggota dewan ford mantan eksekutif goldman sachs john thornton fakta ancaman eksistensial farley laporan wall street journal wsj catatan ford bertahuntahun salah brand digemari china penjualan mengalami kenaikan menjalin kemitraan joint venture changan jiangling juli farlet mengumumkan menjual mobil listrik murah rp jutaan china kendaraan entrylevel kabarnya meluncur menantang mobil listrik mungil buatan merek lokal logo ford foto francois lenoirreuters ford merek menolak gagasan mobil full listrik menjual mobil bensin hybrid ford dikabarkan meluncurkan suv truk listrik rencana dibatalkan diundur sfndry
